RA,Nome,Turma,Situação
1111,João Silva,1,Aprovado
1112,Maria Souza,1,Reprovado
1113,Pedro Oliveira,2,Aprovado
1114,Juliana Santos,2,Aprovado
1115,Lucas Costa,3,Reprovado
1116,Ana Lima,1,Aprovado
1117,Carlos Pereira,3,Aprovado
1118,Fernanda Dias,1,Reprovado
1119,Ricardo Mendes,2,Aprovado
1120,Sofia Barbosa,3,Aprovado
1121,Bruno Almeida,1,Reprovado
1122,Clara Ferreira,2,Aprovado
1123,Daniel Nogueira,3,Reprovado
1124,Patrícia Gomes,1,Aprovado
1125,Henrique Moraes,2,Aprovado
1126,Beatriz Silva,3,Reprovado
1127,André Rocha,1,Aprovado
1128,Letícia Ribeiro,2,Reprovado
1129,Rafael Cardoso,3,Aprovado
1130,Vanessa Teixeira,1,Aprovado
1131,Mateus Carvalho,2,Reprovado
1132,Aline Costa,3,Aprovado
1133,Gustavo Freitas,1,Aprovado
1134,Nathalia Souza,2,Reprovado
1135,Diego Oliveira,3,Aprovado
1136,Juliana Silva,1,Aprovado
1137,Marcos Santos,2,Reprovado
1138,Larissa Martins,3,Aprovado
1139,Paulo César,1,Reprovado
1140,Giovana Ramos,2,Aprovado
1141,Vinicius Faria,3,Reprovado
1142,Isabela Andrade,1,Aprovado
1143,Marcelo Braga,2,Reprovado
1144,Yasmin Lopes,3,Aprovado
1145,Thiago Mendes,1,Aprovado
1146,Lívia Nunes,2,Reprovado
1147,Rodrigo Azevedo,3,Aprovado
1148,Camila Duarte,1,Reprovado
1149,João Silva,2,AprovadoDuplicado
1150,Maria Souza,3,ReprovadoDuplicado



